ToVol,OccRate,Speed,HeavyRatio,label
149,6.43,45.1,0.0067,2
129,7.83,43.6,0.0,2
155,12.53,43.8,0.0,1
121,4.98,45.6,0.0083,2
153,8.5,39.6,0.0131,2
155,11.63,48.6,0.0,2
142,6.43,43.8,0.0,2
158,17.5,47.5,0.0063,1
124,5.15,47.4,0.0242,2
127,5.78,44.4,0.0079,2
128,6.89,45.1,0.0156,2
131,6.23,45.8,0.0,2
129,5.67,43.7,0.0155,2
141,6.16,46.3,0.0,2
155,6.75,46.8,0.0,2
136,6.06,47.0,0.0147,2
142,5.99,46.9,0.0141,1
77,5.87,48.5,0.0,1
110,4.31,49.7,0.0182,1
138,5.32,49.3,0.0072,1
132,5.55,49.7,0.0152,2
138,5.77,47.3,0.0,2
151,7.02,44.6,0.0132,1
116,4.73,51.8,0.0172,2
136,5.7,46.6,0.0074,2
139,5.91,45.3,0.0072,2
142,6.42,45.0,0.0211,1
123,5.12,47.8,0.0,1
107,4.77,49.0,0.0,1
110,4.23,49.8,0.0091,1
125,4.76,49.5,0.008,1
133,4.78,50.4,0.015,1
106,3.83,53.2,0.0,1
108,4.31,48.9,0.0,1
115,5.06,46.1,0.0174,2
127,6.13,43.2,0.0079,2
144,6.87,44.5,0.0,2
124,6.45,44.4,0.0,2
165,10.25,41.5,0.0,2
147,8.54,43.0,0.0,2
131,6.38,45.1,0.0076,2
125,7.07,46.2,0.0,1
126,5.95,46.7,0.0079,1
104,4.79,47.1,0.0,1
114,6.07,45.4,0.0088,1
116,5.61,47.5,0.0086,1
110,5.56,48.0,0.0,1
120,5.9,50.3,0.0167,1
122,5.83,48.2,0.0082,1
109,5.87,44.8,0.0,1
116,5.28,49.1,0.0086,1
79,3.81,44.6,0.0,1
111,5.33,45.3,0.0,1
119,6.11,46.4,0.0168,1
98,4.44,44.9,0.0,1
120,5.32,51.3,0.0,1
99,4.56,49.0,0.0,2
105,5.9,43.6,0.0,1
111,5.25,46.6,0.009,1
99,5.36,45.7,0.0202,1
97,4.97,46.4,0.0,1
75,3.72,43.1,0.0,2
122,6.66,45.5,0.0082,1
90,4.61,44.3,0.0111,1
102,4.67,44.5,0.0,1
87,4.26,46.7,0.0,1
76,3.96,46.3,0.0,1
73,3.29,46.0,0.0,1
72,3.05,49.3,0.0,1
73,3.61,52.2,0.0274,1
67,3.05,52.0,0.0,0
55,2.39,54.2,0.0364,1
88,4.05,51.9,0.0114,1
68,3.13,49.1,0.0,1
55,4.63,47.9,0.0,1
53,2.26,50.3,0.0,1
72,3.05,49.0,0.0139,1
44,2.05,50.0,0.0,1
76,3.46,55.2,0.0,1
84,4.17,49.8,0.0,1
65,2.88,49.5,0.0154,1
49,2.37,51.0,0.0,1
53,2.71,49.7,0.0,1
39,1.74,47.2,0.0,0
45,2.18,52.5,0.0,0
40,1.46,54.9,0.0,0
50,2.12,60.5,0.0,0
35,1.25,64.3,0.0,0
49,2.41,55.1,0.0204,0
34,1.35,58.2,0.0,0
35,1.35,61.5,0.0,0
28,1.07,57.0,0.0,0
32,1.21,55.0,0.0,0
24,1.01,57.6,0.0,0
26,1.04,53.1,0.0,0
30,1.09,58.6,0.0,0
28,1.29,57.5,0.0,0
42,1.53,53.1,0.0238,0
32,1.25,56.2,0.0312,0
22,1.02,52.8,0.0,0
18,0.77,61.2,0.0,0
15,0.67,59.7,0.0,0
26,1.28,58.8,0.0,0
31,1.25,51.1,0.0,0
16,0.66,55.9,0.0,0
23,1.01,57.1,0.0,0
17,0.78,54.4,0.0,0
