,Date,ToVol,SmVol,MeVol,LaVol,Speed,OccRate,hour,sp3
244,2017-04-22 12:10,176,124,51,1,23.5,37.0,12,Jam
245,2017-04-22 12:20,201,144,52,5,23.5,34.02,12,Jam
246,2017-04-08 15:15,209,160,44,5,23.6,57.81,15,Jam
247,2017-04-08 14:50,216,146,67,3,23.8,44.24,14,Jam
248,2017-04-08 15:25,156,125,29,2,24.3,48.4,15,Jam
249,2017-04-08 12:40,216,131,76,9,24.4,39.12,12,Jam
250,2017-04-08 12:00,246,171,72,3,24.5,31.96,12,Jam
251,2017-04-08 15:00,162,113,46,3,24.5,50.51,15,Jam
252,2017-04-17 8:30,178,123,52,3,24.7,49.74,8,Jam
253,2017-04-08 13:00,191,128,60,3,24.7,42.84,13,Jam
254,2017-04-08 12:25,251,172,72,7,24.7,49.3,12,Jam
255,2017-04-29 12:05,187,143,42,2,25.2,39.17,12,Jam
256,2017-04-08 13:05,267,173,85,9,25.2,36.28,13,Jam
257,2017-04-15 13:30,246,178,62,6,25.2,46.04,13,Jam
258,2017-04-08 12:10,200,134,64,2,25.4,27.23,12,Jam
259,2017-04-28 18:20,235,167,63,5,25.5,31.77,18,Jam
260,2017-04-07 18:35,188,134,45,9,25.5,30.0,18,Jam
261,2017-04-16 11:05,140,83,56,1,25.6,41.08,11,Jam
262,2017-04-08 12:35,207,131,72,4,25.7,39.71,12,Jam
263,2017-04-16 11:15,156,113,35,8,25.7,33.45,11,Jam
264,2017-04-22 12:55,156,113,40,3,25.8,24.26,12,Jam
265,2017-04-22 12:45,219,143,70,6,25.9,34.28,12,Jam
266,2017-04-29 11:55,141,92,44,5,26.2,35.39,11,Jam
267,2017-04-11 8:35,212,139,70,3,26.2,31.61,8,Jam
268,2017-04-15 11:25,160,101,55,4,26.3,43.48,11,Jam
269,2017-04-08 13:15,213,154,54,5,26.3,32.1,13,Jam
270,2017-04-28 18:25,225,182,37,6,26.4,42.53,18,Jam
271,2017-04-08 15:20,211,161,45,5,26.4,52.96,15,Jam
272,2017-04-08 11:55,145,103,42,0,26.4,30.27,11,Jam
273,2017-04-16 11:20,109,74,29,6,26.8,51.97,11,Jam
274,2017-04-08 15:35,236,180,54,2,26.9,27.88,15,Jam
275,2017-04-08 12:05,243,160,79,4,26.9,31.62,12,Jam
276,2017-04-05 18:50,172,139,24,9,27.0,36.77,18,Jam
277,2017-04-22 13:00,170,111,53,6,27.3,33.13,13,Jam
278,2017-04-08 11:50,206,131,69,6,27.4,28.16,11,Jam
279,2017-04-08 15:10,235,169,63,3,27.4,49.46,15,Jam
280,2017-04-05 8:45,151,107,40,4,27.6,36.4,8,Jam
281,2017-04-16 11:25,144,102,36,6,27.7,31.25,11,Jam
282,2017-04-08 14:55,225,169,52,4,27.8,40.58,14,Jam
283,2017-04-29 12:10,139,95,40,4,27.9,28.09,12,Jam
284,2017-04-05 18:45,204,157,33,14,27.9,36.77,18,Jam
285,2017-04-28 18:35,188,143,36,9,28.0,23.77,18,Jam
286,2017-04-05 18:20,178,128,49,1,28.0,27.85,18,Jam
287,2017-04-16 13:00,168,125,39,4,28.1,22.15,13,Jam
288,2017-04-16 12:50,152,107,43,2,28.2,30.16,12,Jam
289,2017-04-11 8:30,220,145,71,4,28.3,30.94,8,Jam
290,2017-04-06 7:50,213,173,35,5,28.3,33.04,7,Jam
291,2017-04-23 12:30,180,134,41,5,28.3,20.46,12,Jam
292,2017-04-22 12:50,197,122,69,6,28.4,35.9,12,Jam
293,2017-04-19 18:20,216,161,48,7,28.5,24.97,18,Jam
294,2017-04-07 18:30,203,163,35,5,28.6,30.21,18,Jam
295,2017-04-28 18:30,169,128,35,6,28.6,46.16,18,Jam
296,2017-04-29 9:10,119,98,21,0,28.6,7.34,9,Jam
297,2017-04-05 18:25,238,177,56,5,28.9,33.82,18,Jam
298,2017-04-29 8:25,113,85,26,2,29.1,9.86,8,Jam
299,2017-04-29 19:00,118,82,31,5,29.2,26.61,19,Jam
