,Day,Hour_Label,Density_Avg,aToVol,aSpeed,aOccRate,Label
0,2017-04-03,00:00,0.026100351820894218,19.458333333333332,58.84583333333334,0.8129166666666666,Fast_Low
1,2017-04-03,02:00,0.012216418355869606,13.333333333333334,64.52916666666667,0.92125,Fast_Low
2,2017-04-03,04:00,0.05267845671255242,35.041666666666664,59.03333333333333,1.7291666666666667,Fast_Low
3,2017-04-03,06:00,0.41444603992141377,178.04166666666666,48.475,9.987083333333333,Jam_High
4,2017-04-03,08:00,0.4236635100968977,190.66666666666666,47.06666666666667,10.21625,Jam_High
5,2017-04-03,10:00,0.2789655390351199,135.83333333333334,49.69166666666667,6.391666666666666,Slow_Med
6,2017-04-03,12:00,0.2815014879520758,136.0,49.19583333333333,5.703333333333333,Slow_Med
7,2017-04-03,14:00,0.298567241936134,141.0,48.10833333333334,6.074583333333333,Slow_Med
8,2017-04-03,16:00,0.3156403041766627,146.25,47.275,6.826249999999999,Slow_Med
9,2017-04-03,18:00,0.343663095522681,152.16666666666666,45.26666666666666,6.980416666666666,Jam_High
10,2017-04-03,20:00,0.2140815291191167,100.45833333333333,47.3125,5.074583333333333,Slow_Med
11,2017-04-03,22:00,0.13319546022235484,67.83333333333333,50.800000000000004,3.1108333333333333,Fast_Low
12,2017-04-04,00:00,0.03433813046005638,23.291666666666668,56.18333333333334,0.9624999999999999,Fast_Low
13,2017-04-04,02:00,0.011490667452496517,11.541666666666666,58.133333333333326,0.49874999999999997,Fast_Low
14,2017-04-04,04:00,0.04977218499213363,32.0,56.991666666666674,1.37375,Fast_Low
15,2017-04-04,06:00,0.3635422807776813,154.79166666666666,49.008333333333326,9.0875,Jam_High
16,2017-04-04,08:00,0.5263620637816729,195.08333333333334,40.30416666666667,15.251666666666665,Jam_High
17,2017-04-04,10:00,0.28657794820957333,137.375,49.02916666666666,6.297916666666666,Slow_Med
18,2017-04-04,12:00,0.29535200793054406,139.04166666666666,47.9625,6.015416666666667,Slow_Med
19,2017-04-04,14:00,0.3021292027526871,141.95833333333334,47.9625,6.065833333333333,Slow_Med
20,2017-04-04,16:00,0.31856009834388066,147.04166666666666,47.15833333333333,6.269583333333333,Jam_High
21,2017-04-04,18:00,0.38312185781880287,158.91666666666666,43.23333333333333,8.829166666666666,Jam_High
22,2017-04-04,20:00,0.24368290388651284,110.625,45.94166666666666,5.589166666666666,Slow_Med
23,2017-04-04,22:00,0.14945637065313463,74.54166666666667,50.64166666666667,3.7208333333333337,Fast_Low
24,2017-04-05,00:00,0.046522325733351876,30.458333333333332,57.34583333333333,1.27375,Fast_Low
25,2017-04-05,02:00,0.017472728638813766,14.458333333333334,56.125,0.7275,Fast_Low
26,2017-04-05,04:00,0.04598972849402394,30.791666666666668,58.87916666666666,1.3324999999999998,Fast_Low
27,2017-04-05,06:00,0.3396327816294476,160.04166666666666,51.166666666666664,7.083749999999999,Jam_High
28,2017-04-05,08:00,0.4965711017835576,194.66666666666666,42.083333333333336,13.203333333333333,Jam_High
29,2017-04-05,10:00,0.2916357169679951,139.625,48.975,6.290833333333333,Slow_Med
30,2017-04-05,12:00,0.28176232889252045,135.70833333333334,48.9625,6.128333333333334,Slow_Med
31,2017-04-05,14:00,0.30355328847144475,139.54166666666666,46.84166666666667,6.5008333333333335,Slow_Med
32,2017-04-05,16:00,0.33121827173764123,144.45833333333334,44.65,7.016666666666667,Jam_High
33,2017-04-05,18:00,0.47996980924426436,159.58333333333334,36.395833333333336,17.3625,Jam_High
34,2017-04-05,20:00,0.22406154961691546,97.91666666666667,43.979166666666664,6.610416666666667,Slow_Med
35,2017-04-05,22:00,0.18708427123243312,81.33333333333333,45.07083333333333,5.070833333333333,Fast_Low
36,2017-04-06,00:00,0.1034400372569491,49.625,50.15,3.315,Fast_Low
37,2017-04-06,02:00,0.0686010869952215,34.125,50.09166666666667,2.2733333333333334,Fast_Low
38,2017-04-06,04:00,0.09505369628949521,46.5,49.37916666666666,4.366666666666666,Fast_Low
39,2017-04-06,06:00,0.36204139257720974,144.58333333333334,45.11249999999999,9.948333333333332,Jam_High
40,2017-04-06,08:00,0.5114020811578776,199.41666666666666,42.34166666666666,12.17125,Jam_High
41,2017-04-06,10:00,0.2814005318454158,136.375,49.637499999999996,6.236666666666667,Slow_Med
42,2017-04-06,12:00,0.3080163738921509,144.79166666666666,47.95416666666667,6.327083333333334,Slow_Med
43,2017-04-06,14:00,0.32633472191191376,150.125,47.083333333333336,6.688333333333333,Jam_High
44,2017-04-06,16:00,0.32663609197776006,151.54166666666666,47.604166666666664,6.6125,Jam_High
45,2017-04-06,18:00,0.3907707405371412,159.54166666666666,42.57916666666667,8.855,Jam_High
46,2017-04-06,20:00,0.2545153859878121,114.54166666666667,45.63333333333333,5.535416666666666,Slow_Med
47,2017-04-06,22:00,0.14047517682602598,72.33333333333333,52.05833333333334,3.516666666666667,Fast_Low
48,2017-04-07,00:00,0.03830401700564254,26.791666666666668,59.070833333333326,1.085,Fast_Low
49,2017-04-07,02:00,0.016982924209453014,15.208333333333334,60.20000000000001,1.0533333333333332,Fast_Low
50,2017-04-07,04:00,0.05266246766865112,33.625,57.65416666666667,1.4920833333333334,Fast_Low
51,2017-04-07,06:00,0.3525128578641558,160.25,50.17916666666667,8.234166666666665,Jam_High
52,2017-04-07,08:00,0.45077295673134005,195.41666666666666,45.866666666666674,11.413749999999999,Jam_High
53,2017-04-07,10:00,0.32114276552907306,151.375,48.366666666666674,6.978750000000001,Slow_Med
